,flour,salt,yeast,oil,water,butter,egg,sugar,starter,milk,baking powder,bicarbonate of soda,label
0,500.0,10.0,7.0,45.0,300.0,,,,,,,,bread
1,500.0,,7.0,,,25.0,1.0,,,,,,bread
2,550.0,,7.0,15.0,,,,,,,,,bread
3,590.0,,7.0,,90.0,,,5.0,,,,,bread
4,1350.0,20.0,,,,,,,15.0,,,,bread
5,500.0,15.0,7.0,75.0,,,,,,,,,bread
6,400.0,,5.0,,,,,5.0,,250.0,,,bread
7,330.0,,,,,15.0,,,,1.0,5.0,,bread
8,500.0,10.0,4.0,,,,,,,,,,bread
9,,,,30.0,,,,,,,,,bread
10,500.0,,7.0,75.0,,,,,,,,,bread
11,400.0,,7.0,30.0,,,,5.0,,,,,bread
12,500.0,,7.0,30.0,,50.0,,10.0,,,,,bread
13,400.0,,10.0,10.0,,100.0,,5.0,,250.0,,,bread
14,500.0,10.0,7.0,5.0,,,,5.0,,,,,bread
15,250.0,,,,,,,,,,,5.0,bread
16,400.0,,7.0,,,,,,,,,,bread
17,400.0,,,,,,,,,,,,bread
18,300.0,,5.0,,,150.0,2.0,160.0,,75.0,,,bread
19,,,,,,,,,,,,,bread
20,500.0,,,,,,,15.0,,,,10.0,bread
21,500.0,10.0,,,,,,,,400.0,,5.0,bread
22,,5.0,7.0,30.0,,,,,,,,,bread
23,300.0,,,,,25.0,,10.0,,,,,bread
24,1200.0,5.0,,,,,,,300.0,,,,bread
25,450.0,10.0,7.0,,,190.0,4.0,50.0,,100.0,,,bread
26,500.0,10.0,10.0,15.0,,,,,,,,,bread
27,500.0,10.0,7.0,30.0,,,,5.0,,,,,bread
28,650.0,,,,,,,,,,,,bread
29,,,,,,100.0,,,,,,,bread
30,400.0,,,,,,1.0,,,,,,bread
31,500.0,,,,,,,,,300.0,,,bread
32,,,,,,25.0,,,,,,,bread
33,450.0,,,,,75.0,1.0,105.0,,150.0,,,bread
34,,,,,,140.0,,,,,,,bread
35,500.0,5.0,7.0,,,,,,,,,,bread
36,350.0,,,,,175.0,1.0,130.0,,,,,bread
37,500.0,,7.0,,,50.0,1.0,15.0,,200.0,,,bread
38,500.0,,,,,100.0,3.0,60.0,200.0,125.0,,,bread
39,300.0,,,,,,,,,15.0,,5.0,bread
40,750.0,10.0,,,,25.0,,,100.0,,,,bread
41,250.0,,,,,,,5.0,,,,1.0,bread
42,550.0,,7.0,,,250.0,4.0,250.0,,100.0,,,bread
43,300.0,,,15.0,,,,,,,,,bread
44,450.0,,,,150.0,,,,,,,5.0,bread
45,500.0,1.0,7.0,,,,,,,,,,bread
46,500.0,,7.0,30.0,,,,,,,,,bread
47,,,,60.0,,,,,,,,,bread
48,350.0,,,20.0,,,,,,,,,bread
49,575.0,5.0,7.0,15.0,,50.0,1.0,75.0,,300.0,,,bread
50,420.0,5.0,7.0,51.0,,,3.0,15.0,,,,,bread
51,400.0,,7.0,30.0,,,,,,,,,bread
52,200.0,,,,,,1.0,,,,5.0,,bread
53,450.0,,7.0,30.0,,,,5.0,,,,,bread
54,15.0,,,,,50.0,1.0,350.0,,,,,bread
55,500.0,5.0,7.0,15.0,,,1.0,,,,,,bread
56,600.0,,,,,,,,,,,,bread
57,500.0,,7.0,30.0,,,,,,,,,bread
58,525.0,,5.0,15.0,,,,,,50.0,5.0,,bread
59,250.0,,5.0,15.0,200.0,,,,,,,,bread
60,500.0,,14.0,,,25.0,2.0,,,,,,bread
61,450.0,,7.0,,1.0,,1.0,1.0,,150.0,,,bread
62,500.0,,7.0,30.0,,,,,,,,,bread
63,,,,,,,1.0,,,,,,bread
64,200.0,5.0,,80.0,,,3.0,,,284.0,15.0,,bread
65,500.0,10.0,7.0,45.0,,,,5.0,,,,,bread
66,500.0,10.0,7.0,,300.0,,,,,,,,bread
67,650.0,10.0,7.0,30.0,,,,,,,,,bread
68,600.0,10.0,,,,,,,100.0,,,,bread
69,500.0,,10.0,,,30.0,,330.0,,350.0,,,bread
70,350.0,10.0,7.0,30.0,,,,,,,,,bread
71,500.0,,,1.0,,25.0,,,,,,,bread
72,450.0,,,,,,,,,,,5.0,bread
73,400.0,5.0,,,,25.0,,5.0,,300.0,,5.0,bread
74,500.0,5.0,7.0,50.0,,,,,,,,,bread
75,,5.0,,75.0,,,,,,,,,bread
76,500.0,5.0,7.0,,,,,,,,,,bread
77,500.0,1.0,7.0,285.0,,,,,,,,,bread
78,500.0,5.0,,90.0,,,,,,,,,bread
79,500.0,5.0,7.0,45.0,,50.0,,,,,,,bread
80,450.0,,5.0,60.0,,,,,,,,,bread
81,1200.0,5.0,,,,,,,300.0,,,,bread
82,570.0,,,120.0,,30.0,,5.0,,,,,bread
83,520.0,,,,,,,,,400.0,,,bread
84,300.0,,7.0,,,170.0,1.0,175.0,,,,,bread
85,190.0,,,,75.0,,,,,,5.0,,bread
86,500.0,,,,,100.0,4.0,5.0,,170.0,,,bread
87,680.0,,,,,235.0,,,,,,10.0,bread
88,500.0,,7.0,,,225.0,2.0,250.0,,200.0,,,bread
89,500.0,,7.0,,,240.0,,20.0,,,,,bread
90,500.0,5.0,7.0,30.0,300.0,,,,,,,,bread
91,,,,,,85.0,,,,,,,bread
92,,,,60.0,,60.0,3.0,15.0,,125.0,,,bread
93,400.0,,,,,25.0,,550.0,,,,5.0,bread
94,500.0,5.0,,,,25.0,,,,,,5.0,bread
95,500.0,,7.0,70.0,,,2.0,70.0,,,,,bread
96,280.0,,7.0,2.0,,,,,,,,,bread
97,400.0,5.0,7.0,60.0,300.0,,,,,,,,bread
98,600.0,15.0,,100.0,,,,,,,,,bread
0,200.0,,,,,300.0,4.0,340.0,,30.0,5.0,,cake
1,175.0,,,150.0,,100.0,2.0,375.0,,150.0,,5.0,cake
2,140.0,,,,,175.0,3.0,177.0,,,,,cake
3,225.0,,,,,225.0,4.0,310.0,,,,,cake
4,265.0,,,230.0,,100.0,4.0,635.0,,,,,cake
5,225.0,,,,,425.0,4.0,625.0,,30.0,,,cake
6,450.0,,,,,700.0,6.0,1150.0,,50.0,,,cake
7,100.0,,,,,200.0,4.0,375.0,,,5.0,,cake
8,280.0,,,,,250.0,4.0,350.0,,,,,cake
9,225.0,,,,,375.0,4.0,525.0,,,5.0,,cake
10,275.0,,,,,225.0,2.0,525.0,,,,10.0,cake
11,250.0,,,,,375.0,4.0,675.0,,15.0,5.0,,cake
12,150.0,,,,,150.0,2.0,180.0,,15.0,,,cake
13,450.0,,,320.0,,,,1300.0,,450.0,,,cake
14,150.0,,,,,165.0,3.0,300.0,,,,,cake
15,200.0,,,,,200.0,3.0,325.0,,45.0,5.0,,cake
16,170.0,,,,,220.0,4.0,265.0,,45.0,,,cake
17,250.0,,,,,175.0,3.0,775.0,,,,,cake
18,300.0,,,,,700.0,4.0,1150.0,,,,,cake
19,250.0,,,,,250.0,4.0,430.0,,,5.0,,cake
20,225.0,,,,,225.0,4.0,225.0,,,,,cake
21,,,,,,800.0,300.0,600.0,,,,,cake
22,140.0,,,,45.0,70.0,2.0,400.0,,30.0,5.0,,cake
23,200.0,,,,,200.0,4.0,200.0,,,,,cake
24,225.0,,,,,400.0,3.0,575.0,,,,,cake
25,200.0,,,,,400.0,4.0,600.0,,185.0,5.0,,cake
26,250.0,,,,,250.0,4.0,550.0,,60.0,5.0,,cake
27,140.0,,,,40.0,340.0,3.0,340.0,,,,,cake
28,200.0,,,,,300.0,2.0,200.0,,170.0,,,cake
29,225.0,,,,,180.0,3.0,190.0,,45.0,5.0,,cake
30,120.0,,,,,50.0,6.0,175.0,,,,,cake
31,200.0,,,,,175.0,3.0,175.0,,,,,cake
32,180.0,,,,60.0,175.0,2.0,280.0,,,5.0,,cake
33,140.0,,,,,140.0,2.0,170.0,,,,,cake
34,250.0,,,,,166.0,3.0,165.0,,75.0,,,cake
35,200.0,,,,,350.0,4.0,425.0,,,,,cake
36,,,,,,,1.0,,,,5.0,,cake
37,200.0,,,,,350.0,4.0,475.0,,,,,cake
38,250.0,,,,,200.0,1.0,85.0,,60.0,,,cake
39,300.0,,,,,250.0,4.0,335.0,,,,,cake
40,175.0,,,,,225.0,2.0,420.0,,60.0,,,cake
41,140.0,,,,,175.0,2.0,340.0,,,,,cake
42,200.0,,,,,250.0,3.0,250.0,,,5.0,,cake
43,225.0,,,,,175.0,5.0,200.0,,,5.0,,cake
44,175.0,,,,,175.0,3.0,375.0,,,,,cake
45,170.0,,,,,200.0,3.0,430.0,,,,,cake
46,200.0,,,,,,,700.0,,200.0,5.0,,cake
47,200.0,,,,,100.0,1.0,125.0,,60.0,,,cake
48,125.0,,,,,225.0,4.0,225.0,,30.0,,,cake
49,125.0,,,,,225.0,4.0,225.0,,30.0,,,cake
0,140.0,,,,,140.0,2.0,190.0,,,5.0,,banana
1,225.0,,,75.0,,,,100.0,,,3.0,,banana
2,240.0,,,,,,3.0,,,,5.0,5.0,banana
3,140.0,,,,,140.0,2.0,140.0,,,5.0,,banana
4,200.0,,,,,150.0,3.0,375.0,,,10.0,,banana
5,150.0,,,,,100.0,2.0,195.0,,,5.0,,banana
6,150.0,,,150.0,,,2.0,150.0,,,5.0,,banana
7,250.0,,,,,150.0,3.0,200.0,,,5.0,,banana
8,150.0,,,,,250.0,2.0,90.0,,,5.0,,banana
9,200.0,,,125.0,,,3.0,125.0,,,10.0,,banana
10,200.0,,,,,125.0,3.0,200.0,,,,,banana
11,200.0,,,50.0,,,,75.0,,45.0,5.0,,banana
12,240.0,,,,,30.0,1.0,,,250.0,5.0,,banana
13,225.0,,,,,140.0,2.0,225.0,,,,,banana
14,,,,,,50.0,2.0,85.0,,450.0,,,banana
15,140.0,,,100.0,,15.0,1.0,140.0,,75.0,,,banana
16,125.0,,,,,50.0,1.0,,,15.0,,,banana
17,250.0,,,,,140.0,2.0,250.0,,,10.0,,banana
18,200.0,,,,,200.0,2.0,100.0,,,,,banana
19,200.0,,,,,200.0,4.0,200.0,,,,5.0,banana
20,220.0,,,,,140.0,2.0,290.0,,,10.0,,banana
21,175.0,,,100.0,,,3.0,175.0,,152.0,,,banana
